1,CEAC105,General Chemistry
2,CMPE109,Fundamentals of Computing
3,CMPE113,Computer Programming I
4,CMPE114,Computer Programming II
5,CMPE225,Object-Oriented Programming
6,CMPE226,Data Structures
7,CMPE251,Discrete Computational Structures
8,CMPE325,Study of Programming Languages
9,CMPE338,Computer Networks and Operating Systems
10,CMPE341,Database Design and Management
11,ENG101,English For Academic Purposes I
12,ENG102,English For Academic Purposes II
13,ENG201,English for Academic Purposes III
14,ENG202,English for Academic Purposes IV
15,ENG301,English for Occupational Purposes I
16,ENG302,English for Occupational Purposes II
17,HIST111,Principles of Atatürk and History of Turkish Revolution I (in English)
18,HIST112,Principles of Atatürk and History of Turkish Revolution II (in English)
19,HIST221,History of Civilization
20,IE220,Probability and Statistics
21,MATH151,Calculus I
22,MATH152,Calculus II
23,MATH275,Linear Algebra
24,MATH276,Differential Equations
25,PHYS101,General Physics I
26,PHYS102,General Physics II
27,SE112,Introduction to Software Engineering
28,SE212,Human-Computer Interaction
29,SE221,Software Requirements Engineering
30,SE321,Object-Oriented Analysis and Design
31,SE322,Software Architecture
32,SE324,Software Project Management and Economics
33,SE328,Algorithms and Optimization Methods
34,SE344,Systems Software Validation and Testing
35,SE345,Software Quality Assurance
36,SE399,Summer Practice I
37,SE493,Project Orientation
38,SE494,Senior Project
39,SE499,Summer Practice II
40,TURK401,Turkish Language I
41,TURK402,Turkish Language II
42,MD,Multidisciplinary
43,SG,Science Group
